Sigla Empresa;Fecha;Origen;Destino;Tipo de Equipo;Número de Vuelos;Horas Bloque;Sillas;Carga Ofrecida Kg;Pasajeros A Bordo;Distancia;Trafico;Tipo de Vuelo;Nombre Empresa;Ciudad Origen;Ciudad Destino;Pais Origen;Pais Destino;Apto_Origen;Apto_Destino;Grupo de Empresas;OW;Ruta;Millas;Año;Mes
ARE;1/01/2020;BOG;ADZ;A320;92;197,6;15996;1550744;13103;;Domestic;Regular;AIRES;BOGOTA;SAN ANDRES - ISLA;COLOMBIA;COLOMBIA;NA;NA;LAN;BOG-ADZ;ADZ-BOG;749;2020;ene
ARE;1/01/2020;BOG;ADZ;A319;33;70,19;4752;489996;4205;;Domestic;Regular;AIRES;BOGOTA;SAN ANDRES - ISLA;COLOMBIA;COLOMBIA;NA;NA;LAN;BOG-ADZ;ADZ-BOG;749;2020;ene
ARE;1/01/2020;ADZ;BOG;A320;97;189,44;16860;1815505;14900;;Domestic;Regular;AIRES;SAN ANDRES - ISLA;BOGOTA;COLOMBIA;COLOMBIA;NA;NA;LAN;ADZ-BOG;ADZ-BOG;749;2020;ene
ARE;1/01/2020;ADZ;BOG;A319;29;56,99;4176;481853;3760;;Domestic;Regular;AIRES;SAN ANDRES - ISLA;BOGOTA;COLOMBIA;COLOMBIA;NA;NA;LAN;ADZ-BOG;ADZ-BOG;749;2020;ene
VVC;1/12/2019;BOG;ADZ;A320;80;179,38;14960;0;13972;;Domestic;Regular;FAST COLOMBIA SAS;BOGOTA;SAN ANDRES - ISLA;COLOMBIA;COLOMBIA;NA;NA;VVC;BOG-ADZ;ADZ-BOG;749;2019;dic
VVC;1/12/2019;ADZ;BOG;A320;80;164,7;14960;0;13126;;Domestic;Regular;FAST COLOMBIA SAS;SAN ANDRES - ISLA;BOGOTA;COLOMBIA;COLOMBIA;NA;NA;VVC;ADZ-BOG;ADZ-BOG;749;2019;dic
RPB;1/12/2019;BOG;ADZ;B738;3;6,76;552;25464;497;;Domestic;Regular;AEROREPUBLICA;BOGOTA;SAN ANDRES - ISLA;COLOMBIA;COLOMBIA;NA;NA;CMP;BOG-ADZ;ADZ-BOG;749;2019;dic
RPB;1/12/2019;BOG;ADZ;B737;15;35,63;2130;85665;1876;;Domestic;Regular;AEROREPUBLICA;BOGOTA;SAN ANDRES - ISLA;COLOMBIA;COLOMBIA;NA;NA;CMP;BOG-ADZ;ADZ-BOG;749;2019;dic
RPB;1/12/2019;ADZ;BOG;B738;3;6,07;552;25464;437;;Domestic;Regular;AEROREPUBLICA;SAN ANDRES - ISLA;BOGOTA;COLOMBIA;COLOMBIA;NA;NA;CMP;ADZ-BOG;ADZ-BOG;749;2019;dic
RPB;1/12/2019;ADZ;BOG;B737;15;32,05;2130;85665;1801;;Domestic;Regular;AEROREPUBLICA;SAN ANDRES - ISLA;BOGOTA;COLOMBIA;COLOMBIA;NA;NA;CMP;ADZ-BOG;ADZ-BOG;749;2019;dic
KRE;1/12/2019;BOG;ADZ;B722;6;13,41;0;144000;0;;Domestic;Regular;AEROSUCRE;BOGOTA;SAN ANDRES - ISLA;COLOMBIA;COLOMBIA;NA;NA;KRE;BOG-ADZ;ADZ-BOG;749;2019;dic
KRE;1/12/2019;ADZ;BOG;B722;6;12,19;0;144000;0;;Domestic;Regular;AEROSUCRE;SAN ANDRES - ISLA;BOGOTA;COLOMBIA;COLOMBIA;NA;NA;KRE;ADZ-BOG;ADZ-BOG;749;2019;dic
KRE;1/12/2019;ADZ;BOG;732;2;3,9;0;30000;0;;Domestic;Regular;AEROSUCRE;SAN ANDRES - ISLA;BOGOTA;COLOMBIA;COLOMBIA;NA;NA;KRE;ADZ-BOG;ADZ-BOG;749;2019;dic
AVA;1/12/2019;BOG;ADZ;A321;61;135,6;11556;126484;10591;;Domestic;Regular;AVIANCA;BOGOTA;SAN ANDRES - ISLA;COLOMBIA;COLOMBIA;NA;NA;AVA;BOG-ADZ;ADZ-BOG;749;2019;dic
AVA;1/12/2019;BOG;ADZ;A320;61;134,5;9193;202620;8462;;Domestic;Regular;AVIANCA;BOGOTA;SAN ANDRES - ISLA;COLOMBIA;COLOMBIA;NA;NA;AVA;BOG-ADZ;ADZ-BOG;749;2019;dic
AVA;1/12/2019;ADZ;BOG;A321;61;125,83;11550;247693;10158;;Domestic;Regular;AVIANCA;SAN ANDRES - ISLA;BOGOTA;COLOMBIA;COLOMBIA;NA;NA;AVA;ADZ-BOG;ADZ-BOG;749;2019;dic
AVA;1/12/2019;ADZ;BOG;A320;61;126,23;9200;212136;7829;;Domestic;Regular;AVIANCA;SAN ANDRES - ISLA;BOGOTA;COLOMBIA;COLOMBIA;NA;NA;AVA;ADZ-BOG;ADZ-BOG;749;2019;dic
ARE;1/12/2019;BOG;ADZ;A320;92;196,47;16008;1595361;13697;;Domestic;Regular;AIRES;BOGOTA;SAN ANDRES - ISLA;COLOMBIA;COLOMBIA;NA;NA;LAN;BOG-ADZ;ADZ-BOG;749;2019;dic
ARE;1/12/2019;BOG;ADZ;A319;34;74,18;4896;493792;4217;;Domestic;Regular;AIRES;BOGOTA;SAN ANDRES - ISLA;COLOMBIA;COLOMBIA;NA;NA;LAN;BOG-ADZ;ADZ-BOG;749;2019;dic
ARE;1/12/2019;ADZ;BOG;A320;101;198,49;17574;1893605;14009;;Domestic;Regular;AIRES;SAN ANDRES - ISLA;BOGOTA;COLOMBIA;COLOMBIA;NA;NA;LAN;ADZ-BOG;ADZ-BOG;749;2019;dic
ARE;1/12/2019;ADZ;BOG;A319;23;44,39;3312;380897;2820;;Domestic;Regular;AIRES;SAN ANDRES - ISLA;BOGOTA;COLOMBIA;COLOMBIA;NA;NA;LAN;ADZ-BOG;ADZ-BOG;749;2019;dic
VVC;1/11/2019;BOG;ADZ;A320;79;181,44;14804;0;13526;;Domestic;Regular;FAST COLOMBIA SAS;BOGOTA;SAN ANDRES - ISLA;COLOMBIA;COLOMBIA;NA;NA;VVC;BOG-ADZ;ADZ-BOG;749;2019;nov
VVC;1/11/2019;ADZ;BOG;A320;80;164,47;14992;0;13216;;Domestic;Regular;FAST COLOMBIA SAS;SAN ANDRES - ISLA;BOGOTA;COLOMBIA;COLOMBIA;NA;NA;VVC;ADZ-BOG;ADZ-BOG;749;2019;nov
RPB;1/11/2019;BOG;ADZ;B737;17;40,61;2414;97087;1983;;Domestic;Regular;AEROREPUBLICA;BOGOTA;SAN ANDRES - ISLA;COLOMBIA;COLOMBIA;NA;NA;CMP;BOG-ADZ;ADZ-BOG;749;2019;nov
RPB;1/11/2019;ADZ;BOG;B737;17;34,87;2414;97087;1970;;Domestic;Regular;AEROREPUBLICA;SAN ANDRES - ISLA;BOGOTA;COLOMBIA;COLOMBIA;NA;NA;CMP;ADZ-BOG;ADZ-BOG;749;2019;nov
KRE;1/11/2019;BOG;ADZ;B722;5;10,84;0;120000;0;;Domestic;Regular;AEROSUCRE;BOGOTA;SAN ANDRES - ISLA;COLOMBIA;COLOMBIA;NA;NA;KRE;BOG-ADZ;ADZ-BOG;749;2019;nov
KRE;1/11/2019;BOG;ADZ;732;1;2,08;0;15000;0;;Domestic;Regular;AEROSUCRE;BOGOTA;SAN ANDRES - ISLA;COLOMBIA;COLOMBIA;NA;NA;KRE;BOG-ADZ;ADZ-BOG;749;2019;nov
KRE;1/11/2019;ADZ;BOG;B722;4;7,41;0;96000;0;;Domestic;Regular;AEROSUCRE;SAN ANDRES - ISLA;BOGOTA;COLOMBIA;COLOMBIA;NA;NA;KRE;ADZ-BOG;ADZ-BOG;749;2019;nov
KRE;1/11/2019;ADZ;BOG;732;3;6,24;0;45000;0;;Domestic;Regular;AEROSUCRE;SAN ANDRES - ISLA;BOGOTA;COLOMBIA;COLOMBIA;NA;NA;KRE;ADZ-BOG;ADZ-BOG;749;2019;nov
AVA;1/11/2019;BOG;ADZ;A321;62;147,45;11710;177676;10172;;Domestic;Regular;AVIANCA;BOGOTA;SAN ANDRES - ISLA;COLOMBIA;COLOMBIA;NA;NA;AVA;BOG-ADZ;ADZ-BOG;749;2019;nov
AVA;1/11/2019;BOG;ADZ;A320;55;126,4;8239;178327;6930;;Domestic;Regular;AVIANCA;BOGOTA;SAN ANDRES - ISLA;COLOMBIA;COLOMBIA;NA;NA;AVA;BOG-ADZ;ADZ-BOG;749;2019;nov
AVA;1/11/2019;BOG;ADZ;A319;2;4,87;240;3716;222;;Domestic;Regular;AVIANCA;BOGOTA;SAN ANDRES - ISLA;COLOMBIA;COLOMBIA;NA;NA;AVA;BOG-ADZ;ADZ-BOG;749;2019;nov
